,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
329,giyon,336372,92,ET,1586547251,45,8.53,37.98,61.25,0.51
330,guadalupe y calvo,4005370,10,MX,1586547251,15,26.1,-106.97,66.51,17.76
331,nianzishan,2035593,0,CN,1586547251,70,47.52,122.88,44.01,3.0
332,santa vitoria,3449749,0,BR,1586547251,68,-18.84,-50.12,71.73,6.2
333,makakilo city,5850554,90,US,1586547251,73,21.35,-158.09,78.8,4.7
334,sao joao da barra,3448903,90,BR,1586547251,73,-21.64,-41.05,77.0,5.82
335,gamba,2400547,94,GA,1586547252,85,-2.65,10.0,80.83,7.54
336,hay river,5972762,90,CA,1586547252,79,60.82,-115.8,21.2,19.46
337,liverpool,2644210,100,GB,1586546982,59,53.41,-2.98,68.0,9.17
338,kholodnyy,2124611,32,RU,1586547252,86,62.72,147.95,12.0,0.74
339,velikooktyabrskiy,476046,89,RU,1586547252,81,57.43,33.82,33.89,6.29
340,yairipok,1252810,0,IN,1586547252,38,24.67,94.07,59.99,1.3
341,birao,240210,8,CF,1586547208,14,10.28,22.79,85.98,4.81
342,shush,114593,6,IR,1586547253,41,32.19,48.24,73.81,3.58
343,la rioja,3336897,65,ES,1586547253,82,42.25,-2.5,59.0,5.82
344,tolyatti,482283,40,RU,1586547000,34,53.53,49.35,48.2,17.9
345,savalou,2391895,99,BJ,1586547253,43,7.93,1.98,88.72,6.04
